# key:
# co = coast
# de = desert
# fo = forest
# gr = grassland
# fw = freshwater
# sm = swamp, marsh
# mo = mountain
# oc = ocean
# ur = urban
#
# SW = Southwest 
# SE = Southeast
# NW = Northeast
# SW = Southwest
# NA = Not Available
#
# Name       Alpha code     Habitats     Regions
Highland Tinamou  HITI  no  NA
Great Tinamou  GRTI  no  NA
Little Tinamou  LITI  no  NA
Thicket Tinamou  THTI  no  NA
Slaty-breasted Tinamou  SBTI  no  NA
Choco Tinamou  CHTI  no  NA
White-faced Whistling-Duck  WFWD  no  NA
Black-bellied Whistling-Duck  BBWD  fw  SW SE
West Indian Whistling-Duck  WIWD  no  NA
Fulvous Whistling-Duck  FUWD  gr fw sm  SE
Taiga Bean-Goose  TABG  fo gr fw  NA
Tundra Bean-Goose  TUBG  fw sm  NA
Pink-footed Goose  PFGO  fw  NE
Greater White-fronted Goose  GWFG  gr sm  NW NE SW SE
Lesser White-fronted Goose  LWFG  no  NA
Graylag Goose  GRGO  no  NA
Emperor Goose  EMGO  co gr  NW SW
Snow Goose  SNGO  gr sm  NW NE SW SE
Ross's Goose  ROGO  gr sm  NW NE SW SE
Brant  BRAN  co gr sm  NW NE SW
Barnacle Goose  BARG  co gr sm  NE
Cackling Goose  CACG  gr fw sm  NW NE SW SE
Canada Goose  CANG  gr fw sm ur  NW NE SW SE
Hawaiian Goose  HAGO  co gr  NA
Mute Swan  MUSW  fw  NE
Trumpeter Swan  TRUS  fw sm  NW NE
Tundra Swan  TUSW  gr fw  NW NE SW SE
Whooper Swan  WHOS  fo gr fw  NW NE
Comb Duck  CODU  no  NA
Orinoco Goose  ORGO  no  NA
Egyptian Goose  EGGO  no  SW SE
Muscovy Duck  MUDU  fo  SE
Wood Duck  WODU  sm  NW NE SW SE
Gadwall  GADW  gr fw sm  NW NE SW SE
Falcated Duck  FADU  fw sm  NW
Eurasian Wigeon  EUWI  fw sm  NW NE SW
American Wigeon  AMWI  co fw sm  NW NE SW SE
American Black Duck  ABDU  fo fw sm  NE SE
Mallard  MALL  fw sm ur  NW NE SW SE
Mottled Duck  MODU  co sm  SE
Hawaiian Duck  HAWD  fw sm  NA
Laysan Duck  LAYD  co fw  NA
Eastern Spot-billed Duck  ESBD  fw  NA
Blue-winged Teal  BWTE  gr fw sm  NW NE SW SE
Cinnamon Teal  CITE  fw sm  NW SW
Northern Shoveler  NSHO  gr sm  NW NE SW SE
White-cheeked Pintail  WCHP  co gr fw  SE
Northern Pintail  NOPI  gr fw sm  NW NE SW SE
Garganey  GARG  fw sm  NA
Baikal Teal  BATE  fo gr fw  NW
Green-winged Teal  GWTE  co fw sm  NW NE SW SE
Canvasback  CANV  co fw sm  NW NE SW SE
Redhead  REDH  fw sm  NW NE SW SE
Common Pochard  COMP  fw sm  NA
Ring-necked Duck  RNDU  fw  NW NE SW SE
Tufted Duck  TUDU  fw  NW NE SW
Greater Scaup  GRSC  co fw  NW NE SW SE
Lesser Scaup  LESC  fw sm  NW NE SW SE
Steller's Eider  STEI  co gr  NW
Spectacled Eider  SPEI  gr oc  NA
King Eider  KIEI  co fw oc  NE
Common Eider  COEI  co oc  NE
Harlequin Duck  HADU  co fw  NW NE
Labrador Duck  LABD  no  NA
Surf Scoter  SUSC  co oc  NW NE SW SE
White-winged Scoter  WWSC  co fw oc  NW NE SW SE
Black Scoter  BLSC  co oc  NW NE SW SE
Long-tailed Duck  LTDU  co gr fw  NW NE SW SE
Bufflehead  BUFF  co fw  NW NE SW SE
Common Goldeneye  COGO  co fo fw  NW NE SW SE
